storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-I-016,33.101,-23.2093,33.1691,-23.2825,0.1
Ground Floor,WAL-I-016,33.7602,-22.5965,33.8282,-22.6697,0.1
Ground Floor,WAL-I-016,33.7602,-22.5965,34.2579,-22.1337,0.6796
Ground Floor,WAL-I-016,33.8282,-22.6697,34.326,-22.2069,0.6796
Ground Floor,WAL-I-016,32.4416,-23.8224,33.101,-23.2093,0.9004
Ground Floor,WAL-I-016,32.4416,-23.8224,32.5097,-23.8956,0.1
Ground Floor,WAL-I-016,33.8282,-22.6697,34.326,-22.2069,0.6796
Ground Floor,WAL-I-016,33.7602,-22.5965,33.8282,-22.6697,0.1
Ground Floor,WAL-I-016,32.5097,-23.8956,33.1691,-23.2825,0.9004
Ground Floor,WAL-I-016,33.7602,-22.5965,33.8282,-22.6697,0.1
Ground Floor,WAL-I-016,32.4416,-23.8224,33.1691,-23.2825,0.9059
Ground Floor,WAL-I-016,33.7602,-22.5965,34.326,-22.2069,0.6869
Ground Floor,WAL-I-016,33.101,-23.2093,33.1691,-23.2825,0.1
Ground Floor,WAL-I-006,29.8446,-20.9118,29.786,-20.9662,0.08
Ground Floor,WAL-I-006,29.7128,-21.0343,29.786,-20.9662,0.1
Ground Floor,WAL-I-006,29.7809,-21.1076,29.9127,-20.985,0.18
Ground Floor,WAL-I-006,30.5184,-20.2853,30.4305,-20.367,0.12
Ground Floor,WAL-I-006,29.7809,-21.1076,29.7128,-21.0343,0.1
Ground Floor,WAL-I-006,29.8541,-21.0395,29.7809,-21.1076,0.1
Ground Floor,WAL-I-006,30.5865,-20.3585,30.4986,-20.4403,0.12
Ground Floor,WAL-I-006,29.7809,-21.1076,29.7128,-21.0343,0.1
Ground Floor,WAL-I-006,29.8541,-21.0395,29.786,-20.9662,0.1
Ground Floor,WAL-I-006,30.4986,-20.4403,30.4305,-20.367,0.1
Ground Floor,WAL-I-006,30.5184,-20.2853,30.4986,-20.4403,0.1562
Ground Floor,WAL-I-006,29.7809,-21.1076,29.8446,-20.9118,0.2059
Ground Floor,WAL-I-006,29.8446,-20.9118,29.786,-20.9662,0.08
Ground Floor,WAL-I-006,29.9127,-20.985,29.8446,-20.9118,0.1
Ground Floor,WAL-I-006,29.8541,-21.0395,29.7809,-21.1076,0.1
